datapoint_index,mean_est,high_95ci,low_95ci,Site,SiteMean,SiteSD,particle num,par %,
1,0.607851681,0.851274462,0.31536031,BANG09,0.928269305,0.408811725,112,0.00224,0.607851681
2,0.533647019,0.823429324,0.217761345,BANG11,13.53247011,18.7377158,0,0,0.533647019
3,0.719115444,0.911909456,0.45259683,BANG14,16.60320373,2.577762147,297,0.00594,0.719115444
4,0.941723149,0.999741749,0.687697325,BANG15,11.36204826,8.233355241,1300,0.026,0.941723149
5,0.907840286,0.997524287,0.655386338,BANG16,27.28608569,21.40834242,935,0.0187,0.907840286
6,0.712120647,0.907971635,0.444456102,BANG17,0,0,284,0.00568,0.712120647
7,0.53430874,0.824071202,0.218409112,BANG35,6.236040799,5.108675678,1,0.00002,0.53430874
8,0.53430874,0.824071202,0.218409112,BANG36,0,0,1,0.00002,0.53430874
9,0.533647019,0.823429324,0.217761345,BANG37,6.689918809,3.601160033,0,0,0.533647019
10,0.533647019,0.823429324,0.217761345,BANG38,0,0,0,0,0.533647019
11,0.743170532,0.925600963,0.4830937,BANG39,2.220256128,0.562353486,344,0.00688,0.743170532
12,0.900492919,0.996668265,0.649551846,BANG40,6.767606932,5.662034732,883,0.01766,0.900492919
13,0.9541988,0.999953149,0.696918592,BANG41,9.952124767,4.569825577,1550,0.031,0.9541988
14,0.670272187,0.882974444,0.390940341,BANG42,0,0,211,0.00422,0.670272187
15,0.955754724,0.999965329,0.699462925,BANG43,614.4670593,1054.148958,1591,0.03182,0.955754724
